;;Entering passengers;;;;;;;;;Leaving passengers;;;;;;;;
Date;Departure;AZU;Heidelberglaan;Padualaan;De Kromme Rijn;Stadion Galgenwaard;Rubenslaan;Sterrenwijk;Bleekstraat;CS Centrumzijde;AZU;Heidelberglaan;Padualaan;De Kromme Rijn;Stadion Galgenwaard;Rubenslaan;Sterrenwijk;Bleekstraat;CS Centrumzijde
2-9-2015;20:30-20:44;3;0;1;0;0;0;0;0;0;0;0;0;2;0;1;1;0;0
2-9-2015;20:45-20:59;11;1;1;2;0;0;0;0;0;0;2;1;3;0;4;1;4;0
2-9-2015;21:00-21:14;7;0;0;0;0;0;0;0;0;0;0;0;5;1;0;0;1;0
2-9-2015;21:15-21:29;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2-9-2015;21:30-21:44;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2-9-2015;21:45-21:59;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3-9-2015;6:00-6:14;6;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;4
3-9-2015;6:15-6:29;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3-9-2015;6:30-6:44;75;1;2;0;1;0;0;0;0;0;0;4;15;21;4;4;8;23
3-9-2015;6:45-6:59;38;4;0;0;1;1;0;0;0;0;0;1;14;6;6;2;1;14
3-9-2015;7:00-7:14;28;1;0;1;0;0;1;0;0;0;2;0;2;6;0;2;9;10
3-9-2015;7:15-7:29;53;0;1;0;1;0;0;0;0;0;3;0;2;13;4;4;18;11
3-9-2015;7:30-7:44;307;9;3;5;4;0;1;0;0;0;4;5;13;47;11;65;125;59
3-9-2015;7:45-7:59;445;4;2;1;2;4;0;0;0;0;19;5;14;25;9;243;109;34
3-9-2015;8:00-8:14;318;4;7;7;4;3;0;0;0;0;19;5;8;14;15;176;90;16
3-9-2015;8:15-8:29;1075;16;6;11;6;0;0;1;0;0;60;8;26;19;43;267;345;347
3-9-2015;8:30-8:44;788;11;3;7;14;1;0;0;0;0;53;8;36;26;22;239;305;135
3-9-2015;8:45-8:59;233;4;6;1;0;0;0;0;0;0;44;2;3;10;0;43;54;88
3-9-2015;9:00-9:14;611;5;19;4;14;0;0;0;0;0;56;51;58;26;6;158;122;176
3-9-2015;9:15-9:29;252;2;3;1;2;1;0;0;0;0;10;4;17;9;8;66;123;24
3-9-2015;9:30-9:44;82;1;0;0;0;0;0;0;0;0;6;0;1;0;1;1;1;73
3-9-2015;9:45-9:59;128;3;0;1;8;0;0;1;0;0;6;1;2;4;12;61;50;5
3-9-2015;10:00-10:14;262;1;0;1;1;4;0;0;0;0;101;1;0;0;4;38;42;83
3-9-2015;10:15-10:29;357;27;1;7;2;1;0;0;0;0;17;0;3;4;27;137;79;128
3-9-2015;10:30-10:44;413;3;5;5;6;0;3;0;0;0;8;1;2;4;16;163;126;115
